IdSensore,NomeTipoSensore,Idstazione,NomeStazione,Provincia,Comune,lat,lng
12687,Piombo,633,Soresina v. Landriani,CR,Soresina,45.28398,9.86340258
12617,Benzo(a)pirene,670,Mantova S.Agnese,MN,Mantova,45.16057658,10.79557331
10454,Ozono,1265,Lodi S.Alberto,LO,Lodi,45.30278678,9.49528589
5853,Monossido di Carbonio,560,Varese v.Copelli,VA,Varese,45.8169745,8.82024911
9896,Ossidi di Azoto,609,Casirate d'Adda v. Cimitero,BG,Casirate d'Adda,45.49822794,9.55624181
6798,Biossido di Azoto,654,Sarezzo v.Minelli,BS,Sarezzo,45.64962671,10.20509022
5572,Biossido di Azoto,569,Sondrio v.Mazzini,SO,Sondrio,46.16797103,9.87014581
6328,Ossidi di Azoto,501,Milano v.Marche,MI,Milano,45.49631883,9.19093444
12693,Piombo,560,Varese v.Copelli,VA,Varese,45.8169745,8.82024911
12638,Arsenico,548,Milano v.Senato,MI,Milano,45.470501,9.19746075
6784,Ossidi di Azoto,652,Brescia v.Turati,BS,Brescia,45.53953611,10.23178722
5958,Biossido di Azoto,629,Crema v.XI febbraio,CR,Crema,45.36631075,9.70395139
10347,Particelle sospese PM2.5,670,Mantova S.Agnese,MN,Mantova,45.16057658,10.79557331
6686,Biossido di Zolfo,642,Pavia v. Folperti,PV,Pavia,45.19468231,9.16464919
12662,Arsenico,681,Moggio Loc. Penscei,LC,Moggio,45.91279097,9.49754261
6419,Ossidi di Azoto,629,Crema v.XI febbraio,CR,Crema,45.36631075,9.70395139
12591,Piombo,669,Brescia Villaggio Sereno,BS,Brescia,45.51306214,10.19190606
10451,Ossidi di Azoto,1265,Lodi S.Alberto,LO,Lodi,45.30278678,9.49528589
5798,Monossido di Carbonio,561,Como v.Cattaneo,CO,Como,45.81504217,9.06697886
10511,Monossido di Carbonio,1269,Dalmine v.Verdi,BG,Dalmine,45.64971,9.60123469
5717,Ozono,531,Pioltello Limito,MI,Pioltello,45.48363242,9.32736196
5574,Biossido di Azoto,571,Bormio v.Monte Braulio,SO,Bormio,46.46952397,10.37543275
10280,Biossido di Zolfo,705,Milano Pascal Città Studi,MI,Milano,45.478347,9.231667
5834,Monossido di Carbonio,548,Milano v.Senato,MI,Milano,45.470501,9.19746075
9976,PM10 (SM2005),679,Valmadrera v.Pozzi,LC,Valmadrera,45.84221272,9.35166247
10001,Ossidi di Azoto,683,Cassano d'Adda 2-v.Milano,MI,Cassano d'Adda,45.52647322,9.515991
12665,Benzo(a)pirene,681,Moggio Loc. Penscei,LC,Moggio,45.91279097,9.49754261
6919,PM10 (SM2005),561,Como v.Cattaneo,CO,Como,45.81504217,9.06697886
10027,PM10 (SM2005),685,Calusco d'Adda v. Caduti sul Lavoro,BG,Calusco d'Adda,45.69043647,9.48426111
